ts,Close,Low,High,Open,Volume
2021-01-04 09:01:00,12.2,12.2,12.4,12.4,215
2021-01-04 09:02:00,12.25,12.2,12.25,12.25,32
2021-01-04 09:03:00,12.15,12.15,12.25,12.25,304
2021-01-04 09:04:00,12.2,12.2,12.2,12.2,23
2021-01-04 09:05:00,12.15,12.15,12.2,12.2,58
2021-01-04 09:06:00,12.1,12.1,12.2,12.2,149
2021-01-04 09:07:00,12.1,12.1,12.15,12.1,205
2021-01-04 09:08:00,12.05,12.05,12.1,12.1,108
2021-01-04 09:09:00,12.05,12.0,12.05,12.05,150
2021-01-04 09:10:00,12.0,12.0,12.05,12.0,182
2021-01-04 09:11:00,12.05,12.0,12.05,12.0,101
2021-01-04 09:12:00,12.1,12.05,12.1,12.05,128
2021-01-04 09:13:00,12.05,12.05,12.1,12.05,149
2021-01-04 09:14:00,12.0,12.0,12.05,12.05,83
2021-01-04 09:15:00,12.05,12.0,12.05,12.0,23
2021-01-04 09:16:00,12.05,12.0,12.1,12.0,80
2021-01-04 09:17:00,12.2,12.1,12.2,12.1,309
2021-01-04 09:18:00,12.25,12.2,12.25,12.2,108
2021-01-04 09:19:00,12.25,12.2,12.3,12.25,142
2021-01-04 09:20:00,12.2,12.2,12.25,12.25,107
2021-01-04 09:21:00,12.2,12.2,12.25,12.2,64
2021-01-04 09:22:00,12.2,12.2,12.25,12.25,39
2021-01-04 09:23:00,12.2,12.2,12.2,12.2,13
2021-01-04 09:24:00,12.2,12.2,12.2,12.2,33
2021-01-04 09:25:00,12.15,12.15,12.2,12.2,7
2021-01-04 09:26:00,12.15,12.15,12.2,12.2,46
2021-01-04 09:27:00,12.15,12.15,12.15,12.15,91
2021-01-04 09:28:00,12.15,12.15,12.15,12.15,6
2021-01-04 09:29:00,12.1,12.1,12.15,12.1,153
2021-01-04 09:30:00,12.05,12.05,12.15,12.1,33
2021-01-04 09:31:00,12.1,12.05,12.15,12.1,14
2021-01-04 09:32:00,12.1,12.1,12.1,12.1,10
2021-01-04 09:33:00,12.05,12.05,12.05,12.05,26
2021-01-04 09:34:00,12.05,12.05,12.1,12.05,11
2021-01-04 09:35:00,12.05,12.05,12.1,12.1,7
2021-01-04 09:36:00,12.05,12.0,12.05,12.05,151
2021-01-04 09:37:00,12.0,12.0,12.05,12.05,34
2021-01-04 09:38:00,12.1,12.0,12.1,12.0,63
2021-01-04 09:39:00,12.1,12.1,12.1,12.1,10
2021-01-04 09:40:00,12.1,12.05,12.1,12.1,10
2021-01-04 09:41:00,12.1,12.1,12.1,12.1,12
2021-01-04 09:42:00,12.05,12.05,12.05,12.05,108
2021-01-04 09:43:00,12.05,12.0,12.1,12.05,37
2021-01-04 09:44:00,12.05,12.05,12.1,12.05,19
2021-01-04 09:45:00,12.05,12.05,12.05,12.05,3
2021-01-04 09:46:00,12.05,12.05,12.05,12.05,13
2021-01-04 09:47:00,12.05,12.05,12.1,12.05,29
2021-01-04 09:48:00,12.05,12.05,12.05,12.05,17
2021-01-04 09:49:00,12.1,12.05,12.1,12.05,6
2021-01-04 09:50:00,12.05,12.05,12.1,12.1,194
2021-01-04 09:51:00,12.05,12.05,12.05,12.05,47
2021-01-04 09:52:00,12.1,12.05,12.1,12.05,4
2021-01-04 09:53:00,12.05,12.05,12.05,12.05,1
2021-01-04 09:54:00,12.05,12.05,12.1,12.05,11
2021-01-04 09:55:00,12.05,12.05,12.1,12.1,9
2021-01-04 09:56:00,12.05,12.05,12.05,12.05,5
2021-01-04 09:57:00,12.1,12.05,12.1,12.05,35
2021-01-04 09:58:00,12.1,12.05,12.1,12.05,26
2021-01-04 09:59:00,12.05,12.05,12.1,12.1,4
2021-01-04 10:00:00,12.05,12.05,12.05,12.05,3
2021-01-04 10:01:00,12.05,12.05,12.05,12.05,11
2021-01-04 10:02:00,12.05,12.05,12.05,12.05,33
2021-01-04 10:03:00,12.05,12.05,12.1,12.05,17
2021-01-04 10:04:00,12.05,12.05,12.05,12.05,7
2021-01-04 10:05:00,12.05,12.05,12.05,12.05,36
2021-01-04 10:06:00,12.05,12.05,12.05,12.05,4
2021-01-04 10:07:00,12.1,12.05,12.1,12.05,71
2021-01-04 10:08:00,12.05,12.05,12.05,12.05,20
2021-01-04 10:09:00,12.05,12.05,12.05,12.05,7
2021-01-04 10:10:00,12.05,12.05,12.05,12.05,5
2021-01-04 10:11:00,12.05,12.05,12.05,12.05,29
2021-01-04 10:12:00,12.0,12.0,12.05,12.05,21
2021-01-04 10:13:00,12.0,12.0,12.05,12.0,35
2021-01-04 10:14:00,12.0,12.0,12.05,12.05,57
2021-01-04 10:15:00,12.05,12.0,12.05,12.0,32
2021-01-04 10:16:00,12.05,12.0,12.05,12.05,7
2021-01-04 10:17:00,12.05,12.0,12.05,12.05,18
2021-01-04 10:18:00,12.05,12.0,12.05,12.05,12
2021-01-04 10:19:00,12.05,12.0,12.05,12.05,63
2021-01-04 10:20:00,12.0,12.0,12.05,12.05,4
2021-01-04 10:21:00,12.0,12.0,12.05,12.05,36
2021-01-04 10:22:00,12.05,12.0,12.05,12.0,42
2021-01-04 10:23:00,12.1,12.05,12.1,12.05,12
2021-01-04 10:24:00,12.05,12.05,12.1,12.05,15
2021-01-04 10:25:00,12.1,12.1,12.1,12.1,5
2021-01-04 10:26:00,12.1,12.05,12.1,12.1,37
2021-01-04 10:27:00,12.1,12.05,12.1,12.05,65
2021-01-04 10:28:00,12.1,12.05,12.1,12.1,17
2021-01-04 10:29:00,12.1,12.1,12.1,12.1,5
2021-01-04 10:30:00,12.05,12.05,12.1,12.05,75
2021-01-04 10:31:00,12.05,12.05,12.1,12.05,13
2021-01-04 10:32:00,12.05,12.05,12.1,12.05,24
2021-01-04 10:33:00,12.05,12.05,12.05,12.05,10
2021-01-04 10:34:00,12.05,12.05,12.05,12.05,40
2021-01-04 10:35:00,12.05,12.05,12.1,12.05,10
2021-01-04 10:36:00,12.05,12.05,12.05,12.05,34
2021-01-04 10:37:00,12.05,12.05,12.05,12.05,11
2021-01-04 10:38:00,12.05,12.0,12.05,12.0,19
2021-01-04 10:39:00,12.0,12.0,12.05,12.05,9
2021-01-04 10:40:00,12.0,12.0,12.05,12.05,25
2021-01-04 10:41:00,12.05,12.0,12.05,12.0,3
2021-01-04 10:42:00,12.0,12.0,12.05,12.05,48
2021-01-04 10:43:00,12.05,12.0,12.05,12.0,46
2021-01-04 10:44:00,12.05,12.0,12.05,12.05,75
2021-01-04 10:45:00,12.0,12.0,12.05,12.05,21
2021-01-04 10:46:00,12.0,12.0,12.05,12.05,8
2021-01-04 10:47:00,12.0,12.0,12.0,12.0,6
2021-01-04 10:48:00,12.05,12.0,12.05,12.0,75
2021-01-04 10:49:00,12.1,12.05,12.1,12.05,15
