High,Open,Low,Close,ts,Volume
13.15,13.15,13.1,13.1,2021-01-04 09:01:00,678
13.15,13.1,13.1,13.1,2021-01-04 09:02:00,79
13.15,13.15,13.05,13.05,2021-01-04 09:03:00,452
13.05,13.05,13.05,13.05,2021-01-04 09:04:00,276
13.1,13.05,13.0,13.0,2021-01-04 09:05:00,373
13.05,13.0,12.95,12.95,2021-01-04 09:06:00,1406
13.0,12.95,12.95,12.95,2021-01-04 09:07:00,517
13.0,12.95,12.95,13.0,2021-01-04 09:08:00,245
13.0,12.95,12.9,12.95,2021-01-04 09:09:00,716
12.95,12.95,12.9,12.95,2021-01-04 09:10:00,314
12.95,12.9,12.9,12.95,2021-01-04 09:11:00,208
12.95,12.95,12.9,12.95,2021-01-04 09:12:00,643
12.95,12.95,12.9,12.9,2021-01-04 09:13:00,218
12.95,12.95,12.9,12.95,2021-01-04 09:14:00,330
12.95,12.95,12.9,12.95,2021-01-04 09:15:00,841
12.95,12.9,12.9,12.9,2021-01-04 09:16:00,2433
12.9,12.9,12.85,12.9,2021-01-04 09:17:00,188
12.9,12.9,12.85,12.85,2021-01-04 09:18:00,467
12.9,12.9,12.85,12.85,2021-01-04 09:19:00,594
12.9,12.85,12.85,12.9,2021-01-04 09:20:00,563
12.9,12.85,12.8,12.85,2021-01-04 09:21:00,309
12.85,12.8,12.8,12.85,2021-01-04 09:22:00,318
12.85,12.85,12.8,12.85,2021-01-04 09:23:00,248
12.85,12.85,12.8,12.8,2021-01-04 09:24:00,220
12.85,12.8,12.8,12.85,2021-01-04 09:25:00,187
12.85,12.85,12.8,12.85,2021-01-04 09:26:00,106
12.85,12.85,12.8,12.85,2021-01-04 09:27:00,196
12.85,12.85,12.8,12.85,2021-01-04 09:28:00,190
12.9,12.85,12.8,12.9,2021-01-04 09:29:00,509
12.9,12.9,12.85,12.9,2021-01-04 09:30:00,73
12.9,12.9,12.9,12.9,2021-01-04 09:31:00,139
12.9,12.85,12.85,12.9,2021-01-04 09:32:00,102
12.9,12.85,12.85,12.9,2021-01-04 09:33:00,61
12.9,12.85,12.85,12.9,2021-01-04 09:34:00,49
12.9,12.9,12.85,12.9,2021-01-04 09:35:00,135
12.9,12.85,12.85,12.9,2021-01-04 09:36:00,738
12.95,12.9,12.9,12.95,2021-01-04 09:37:00,155
12.95,12.9,12.9,12.9,2021-01-04 09:38:00,54
12.95,12.95,12.9,12.9,2021-01-04 09:39:00,94
12.95,12.9,12.9,12.9,2021-01-04 09:40:00,128
12.95,12.9,12.9,12.9,2021-01-04 09:41:00,70
12.95,12.9,12.9,12.9,2021-01-04 09:42:00,181
12.9,12.9,12.85,12.9,2021-01-04 09:43:00,263
12.9,12.85,12.85,12.85,2021-01-04 09:44:00,88
12.9,12.85,12.85,12.9,2021-01-04 09:45:00,166
12.9,12.9,12.85,12.85,2021-01-04 09:46:00,122
12.9,12.85,12.85,12.9,2021-01-04 09:47:00,270
12.9,12.9,12.85,12.85,2021-01-04 09:48:00,129
12.9,12.85,12.85,12.85,2021-01-04 09:49:00,84
12.9,12.9,12.85,12.85,2021-01-04 09:50:00,185
12.9,12.85,12.85,12.85,2021-01-04 09:51:00,127
12.9,12.9,12.85,12.85,2021-01-04 09:52:00,125
12.9,12.85,12.85,12.85,2021-01-04 09:53:00,275
12.9,12.9,12.85,12.9,2021-01-04 09:54:00,163
12.9,12.85,12.85,12.9,2021-01-04 09:55:00,79
12.9,12.85,12.85,12.85,2021-01-04 09:56:00,53
12.9,12.85,12.85,12.85,2021-01-04 09:57:00,205
12.9,12.85,12.85,12.9,2021-01-04 09:58:00,29
12.9,12.9,12.85,12.85,2021-01-04 09:59:00,52
12.9,12.85,12.85,12.9,2021-01-04 10:00:00,53
12.95,12.9,12.85,12.9,2021-01-04 10:01:00,367
12.9,12.9,12.9,12.9,2021-01-04 10:02:00,23
12.95,12.95,12.9,12.9,2021-01-04 10:03:00,42
12.95,12.9,12.9,12.95,2021-01-04 10:04:00,185
12.95,12.9,12.9,12.95,2021-01-04 10:05:00,152
13.0,12.9,12.9,12.95,2021-01-04 10:06:00,428
13.0,12.95,12.95,12.95,2021-01-04 10:07:00,278
13.0,13.0,12.95,12.95,2021-01-04 10:08:00,45
13.0,12.95,12.95,12.95,2021-01-04 10:09:00,94
13.0,12.95,12.95,12.95,2021-01-04 10:10:00,76
13.0,13.0,12.95,13.0,2021-01-04 10:11:00,241
13.0,12.95,12.95,12.95,2021-01-04 10:12:00,137
13.0,12.95,12.95,12.95,2021-01-04 10:13:00,154
13.0,12.95,12.95,12.95,2021-01-04 10:14:00,57
13.0,12.95,12.95,13.0,2021-01-04 10:15:00,67
13.05,12.95,12.95,13.0,2021-01-04 10:16:00,720
13.05,13.0,13.0,13.0,2021-01-04 10:17:00,525
13.05,13.0,13.0,13.0,2021-01-04 10:18:00,32
13.05,13.0,13.0,13.0,2021-01-04 10:19:00,87
13.05,13.0,13.0,13.0,2021-01-04 10:20:00,54
13.05,13.0,13.0,13.0,2021-01-04 10:21:00,411
13.05,13.0,13.0,13.0,2021-01-04 10:22:00,194
13.05,13.0,13.0,13.0,2021-01-04 10:23:00,70
13.05,13.0,13.0,13.0,2021-01-04 10:24:00,173
13.05,13.0,13.0,13.0,2021-01-04 10:25:00,142
13.0,13.0,13.0,13.0,2021-01-04 10:26:00,44
13.05,13.0,13.0,13.0,2021-01-04 10:27:00,168
13.05,13.05,13.0,13.0,2021-01-04 10:28:00,62
13.05,13.0,13.0,13.0,2021-01-04 10:29:00,58
13.0,13.0,13.0,13.0,2021-01-04 10:30:00,70
13.05,13.0,13.0,13.0,2021-01-04 10:31:00,31
13.05,13.0,13.0,13.0,2021-01-04 10:32:00,46
13.05,13.0,13.0,13.0,2021-01-04 10:33:00,34
13.05,13.0,13.0,13.0,2021-01-04 10:34:00,140
13.05,13.05,13.0,13.0,2021-01-04 10:35:00,57
13.05,13.0,13.0,13.05,2021-01-04 10:36:00,80
13.05,13.0,13.0,13.0,2021-01-04 10:37:00,270
13.05,13.0,13.0,13.0,2021-01-04 10:38:00,73
13.0,13.0,13.0,13.0,2021-01-04 10:39:00,76
13.0,13.0,13.0,13.0,2021-01-04 10:40:00,31
13.05,13.0,13.0,13.0,2021-01-04 10:41:00,80
13.0,13.0,13.0,13.0,2021-01-04 10:42:00,259
13.0,13.0,13.0,13.0,2021-01-04 10:43:00,106
13.0,13.0,13.0,13.0,2021-01-04 10:44:00,143
13.05,13.0,13.0,13.0,2021-01-04 10:45:00,154
13.05,13.05,13.0,13.0,2021-01-04 10:46:00,132
13.05,13.0,13.0,13.0,2021-01-04 10:47:00,217
13.05,13.0,13.0,13.0,2021-01-04 10:48:00,82
13.05,13.0,13.0,13.0,2021-01-04 10:49:00,33
13.05,13.0,13.0,13.0,2021-01-04 10:50:00,39
13.05,13.05,13.0,13.05,2021-01-04 10:51:00,100
13.0,13.0,13.0,13.0,2021-01-04 10:52:00,40
13.0,13.0,13.0,13.0,2021-01-04 10:53:00,139
13.05,13.0,12.95,12.95,2021-01-04 10:54:00,93
13.05,12.95,12.95,13.0,2021-01-04 10:55:00,824
13.0,13.0,13.0,13.0,2021-01-04 10:56:00,71
13.0,13.0,13.0,13.0,2021-01-04 10:57:00,51
13.05,13.05,13.0,13.0,2021-01-04 10:58:00,75
13.0,13.0,13.0,13.0,2021-01-04 10:59:00,41
13.0,13.0,13.0,13.0,2021-01-04 11:00:00,88
13.0,13.0,13.0,13.0,2021-01-04 11:01:00,51
13.05,13.0,13.0,13.0,2021-01-04 11:02:00,70
13.05,13.0,13.0,13.05,2021-01-04 11:03:00,50
13.0,13.0,13.0,13.0,2021-01-04 11:04:00,58
13.05,13.0,13.0,13.0,2021-01-04 11:05:00,195
13.0,13.0,13.0,13.0,2021-01-04 11:06:00,73
13.0,13.0,13.0,13.0,2021-01-04 11:07:00,40
13.0,13.0,13.0,13.0,2021-01-04 11:08:00,60
13.05,13.05,13.0,13.05,2021-01-04 11:09:00,633
13.1,13.05,13.0,13.05,2021-01-04 11:10:00,92
13.1,13.05,13.0,13.0,2021-01-04 11:11:00,32
13.1,13.0,13.0,13.0,2021-01-04 11:12:00,102
13.1,13.05,13.0,13.05,2021-01-04 11:13:00,57
13.1,13.0,13.0,13.05,2021-01-04 11:14:00,50
13.05,13.0,13.0,13.05,2021-01-04 11:15:00,148
13.05,13.05,13.05,13.05,2021-01-04 11:16:00,33
13.1,13.05,13.05,13.05,2021-01-04 11:17:00,28
13.1,13.05,13.05,13.05,2021-01-04 11:18:00,710
13.1,13.05,13.05,13.05,2021-01-04 11:19:00,62
13.1,13.05,13.05,13.05,2021-01-04 11:20:00,31
13.15,13.1,13.05,13.1,2021-01-04 11:21:00,1055
13.15,13.15,13.1,13.15,2021-01-04 11:22:00,103
13.15,13.15,13.1,13.15,2021-01-04 11:23:00,547
13.15,13.15,13.1,13.15,2021-01-04 11:24:00,116
13.15,13.15,13.15,13.15,2021-01-04 11:25:00,62
13.2,13.15,13.15,13.15,2021-01-04 11:26:00,164
13.2,13.15,13.15,13.15,2021-01-04 11:27:00,53
13.2,13.2,13.15,13.15,2021-01-04 11:28:00,44
13.2,13.15,13.15,13.15,2021-01-04 11:29:00,63
13.15,13.15,13.15,13.15,2021-01-04 11:30:00,25
13.2,13.15,13.1,13.1,2021-01-04 11:31:00,119
13.15,13.15,13.1,13.15,2021-01-04 11:32:00,28
13.1,13.1,13.1,13.1,2021-01-04 11:33:00,28
13.15,13.1,13.1,13.1,2021-01-04 11:34:00,49
13.15,13.1,13.1,13.1,2021-01-04 11:35:00,21
13.15,13.1,13.1,13.1,2021-01-04 11:36:00,61
13.15,13.1,13.1,13.1,2021-01-04 11:37:00,59
13.15,13.1,13.1,13.1,2021-01-04 11:38:00,35
13.15,13.1,13.1,13.1,2021-01-04 11:39:00,29
13.1,13.1,13.1,13.1,2021-01-04 11:40:00,28
13.15,13.1,13.1,13.15,2021-01-04 11:41:00,46
13.1,13.1,13.1,13.1,2021-01-04 11:42:00,38
13.1,13.1,13.1,13.1,2021-01-04 11:43:00,51
